Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost / Manufacturer Price,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],,IMAGE LINK
magic-chips-cheese,10195,MAGIC CHIPS CHEESE,SNACKS,,N,,,,,,,7.92,4.80393E+12,,,Y,Y,10,3,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rasd-m7vu61ve154pe3
magic-creams-butter,10214,MAGIC CREAMS BUTTER,SNACKS,,N,,,,,,,5.55,4.80002E+12,,,Y,Y,9,18,,,https://cf.shopee.ph/file/6052c97192cc518f7c20969bb0d61e85
magic-creams-choco,10213,MAGIC CREAMS CHOCO,SNACKS,,N,,,,,,,5.55,4.80002E+12,,,Y,Y,9,20,,,https://down-ph.img.susercontent.com/file/1dca58b11ccbedf2cfb6030b6b41ee62
magic-creams-condensed,10212,MAGIC CREAMS CONDENSED,SNACKS,,N,,,,,,,5.55,4.80002E+12,,,Y,Y,9,20,,,https://down-ph.img.susercontent.com/file/ph-11134201-7r990-lm8v0wky3y4vd2
magic-creams-peanut-butter,10211,MAGIC CREAMS PEANUT BUTTER,SNACKS,,N,,,,,,,5.55,4.80002E+12,,,Y,Y,9,16,,,https://down-ph.img.susercontent.com/file/sg-11134275-821et-mgr3k49o9q1878
magic-flakes,10225,MAGIC FLAKES,SNACKS,,N,,,,,,,5.51,4.80002E+12,,,Y,Y,9,55,,,https://filebroker-cdn.lazada.com.ph/kf/S24ad13e57192478bae797951fa3c8b4fN.jpg
magic-flakes-cheese,10210,MAGIC FLAKES CHEESE,SNACKS,,N,,,,,,,5.55,4.80002E+12,,,Y,Y,9,20,,,https://down-ph.img.susercontent.com/file/ph-11134201-7r992-lxbmfs06c9y981_tn.webp
mang-juan-suka'tsili-90g,10215,MANG JUAN SUKA'TSILI 90G,SNACKS,,N,,,,,,,22.5,4.80002E+12,,,Y,Y,29.5,16,,,https://imartgrocersph.com/wp-content/uploads/2020/09/Mang-Juan-Suka_t-Sili-90g.png
mang-juan-sukang-paombong,10139,MANG JUAN SUKANG PAOMBONG,SNACKS,,N,,,,,,,0,4.80002E+12,,,Y,Y,10,6,,,https://down-ph.img.susercontent.com/file/sg-11134201-22120-z9kgza86kskvb7
mang-juan-sukang-paombong-90g,10216,MANG JUAN SUKANG PAOMBONG 90G,SNACKS,,N,,,,,,,22.5,4.80002E+12,,,Y,Y,29.5,17,,,https://down-ph.img.susercontent.com/file/b369cb28898e17863d07aac744d635a3
mang-juan-sukatsili,10141,MANG JUAN SUKATSILI,SNACKS,,N,,,,,,,0,4.80002E+12,,,Y,Y,10,2,,,https://down-ph.img.susercontent.com/file/sg-11134201-22110-mchnf04nmsjva7
mayon-cream-corn-425g,10034,MAYON CREAM CORN 425G,FOOD,<p>MAYON CREAM STYLE CORN 425G</p>,N,,,,,,,0,4.80651E+12,,,Y,Y,41.5,3,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98v-lx96occipmv80b
mayon-whole-kernel,10072,MAYON WHOLE KERNEL,FOOD,,N,,,,,,,0,4.80651E+12,,,Y,Y,41.5,6,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98s-lx96occir1foba
megasoft-tissue,10076,MEGASOFT TISSUE,HOME ESSENTIALS,,N,,,,,,,0,4.80651E+12,,,Y,Y,17.5,0,,,https://img.ws.mms.shopee.ph/ph-11134210-7rasi-m9tdtvzv9q8348
mighty-bond,10315,MIGHTY BOND,HOME ESSENTIALS,,N,,,,,,,0,4.80037E+12,,,Y,Y,15,177,,,https://down-ph.img.susercontent.com/file/ph-11134207-7qul3-lfj74wqndvxwf3
milo,10173,MILO,FOOD,,N,,,,,,,9.25,4.80036E+12,,,Y,Y,12,48,20,,https://down-ph.img.susercontent.com/file/a5b62fb87038e7991ec6e182105b6127
minute-maid-250,10118,MINUTE MAID 250,DRINKS,,N,,,,,,,0,4.80198E+12,,,Y,Y,12,12,,,https://down-ph.img.susercontent.com/file/ph-11134208-7ras9-ma46pvw67skvb1
misua-pack-12s,10041,MISUA PACK 12S,FOOD,,N,,,,,,,0,4.80901E+12,,,Y,Y,52,7,,,https://lzd-img-global.slatic.net/g/ff/kf/S5f9f07df0ba24480a5e254032153bfaa4.jpg_720x720q80.jpg
misua-per-piece,10042,MISUA PER PIECE,FOOD,,N,,,,,,,0,,,,Y,Y,5,98,,,https://lzd-img-global.slatic.net/g/ff/kf/S5f9f07df0ba24480a5e254032153bfaa4.jpg_720x720q80.jpg
moby-caramel,10152,MOBY CARAMEL,SNACKS,,N,,,,,,,0,4.80052E+12,,,Y,Y,10,5,,,http://www.mayofilipinostore.com/cdn/shop/files/NETWT.907g-2025-09-25T013206.569.png?v=1758735265
modess-w/-wings-8pcs,10080,MODESS W/ WINGS 8PCS,FEMININE CARE,,N,,,,,,,0,8.85001E+12,,,Y,Y,52,1,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98t-llg74hn3r52qa9
monggo,10060,MONGGO,FOOD,,N,,,,,,,0,,,,Y,Y,22,44,,,https://img06.weeecdn.com/product/image/386/349/4B4A6331D2934D5B.png
mountain-dew-(290ml),10239,MOUNTAIN DEW (290ML),DRINKS,,N,,,,,,,16.35,4.80393E+12,,,Y,Y,20,4,5,,https://down-ph.img.susercontent.com/file/sg-11134202-824ht-mf6yaojlex3jae
mountain-dew-1.5l,10275,MOUNTAIN DEW 1.5L,DRINKS,,N,,,,,,,62,4.80393E+12,,,Y,Y,72,6,,,https://down-ph.img.susercontent.com/file/ph-11134207-81ztn-mfrvaz764ah79f
mr-chips-manamis-mais,10219,MR CHIPS MANAMIS MAIS,SNACKS,,N,,,,,,,8.19,4.80002E+12,,,Y,Y,12,51,,,https://pinoyhyper.com/cdn/shop/files/download_46_a4ce94a4-e015-4539-9980-cd4787b267a4.png?v=1740500193&width=600
mr-chips-nacho-cheese-98g,10218,MR CHIPS NACHO CHEESE 98G,SNACKS,,N,,,,,,,22.5,4.80002E+12,,,Y,Y,30,3,,,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/50c9e59b332e480d86777c6bfdcd1cde~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=maliva&from=1826719393
mr.-chips-24g,10148,MR. CHIPS 24G,SNACKS,,N,,,,,,,0,4.80002E+12,,,Y,Y,10,10,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rasi-m57zpn6s6udf51
natalicious,10196,natalicious,SNACKS,,N,,,,,,,0,4.80653E+12,,,Y,Y,10,4,,,https://down-ph.img.susercontent.com/file/ph-11134208-81ztl-mf9id94dpyix76
nature's-spring-1000ml,10188,NATURE'S SPRING 1000ML,DRINKS,,N,,,,,,,15.5,4.80005E+12,,,Y,Y,25,0,,,https://shop.naturespring.com.ph/cdn/shop/files/1000_b11119e5-86ca-4f0a-a735-4b205a8149c3_699x748_crop_center@2x.png?v=1701947412
nescafe-creamy-white,10127,NESCAFE CREAMY WHITE,FOOD,,N,,,,,,,0,4.80036E+12,,,Y,Y,15,8,,,https://down-ph.img.susercontent.com/file/ph-11134201-7rase-m8vmoissr78h36
nescafe-original-2pk,10128,NESCAFE ORIGINAL 2PK,FOOD,,N,,,,,,,0,4.80036E+12,,,Y,Y,15,8,,,https://images.deliveryhero.io/image/darkstores/nv-global-catalog/ph/205be0cb-7c4d-4549-a1e4-8229aa866dac.png?height=480&dpi=2
nescafe-stick,10189,NESCAFE STICK,FOOD,,N,,,,,,,0,4.80036E+12,,,N,Y,5,,,,https://down-ph.img.susercontent.com/file/ph-11134207-7ras8-m6yxijtgdled59
nestle-(almond-brownie-fudge)1.3l,10289,NESTLE (ALMOND BROWNIE FUDGE)1.3L,ICE CREAM 🍦,,N,,,,,,,280,4.80653E+12,,,Y,Y,330,2,,,https://images.deliveryhero.io/image/darsktores-ph/food/4800361394970.png?height=480
nestle-(chocolate)1.3l,10290,NESTLE (CHOCOLATE)1.3L,ICE CREAM 🍦,,N,,,,,,,275,4.80653E+12,,,Y,Y,325,2,,,https://philfastfood.com/wp-content/uploads/2024/12/detail_3301_choco_classic-1.png
nestle-(classic-affogato-sundae)750ml,10285,NESTLE (CLASSIC AFFOGATO SUNDAE)750ML,ICE CREAM 🍦,,N,,,,,,,214,4.80653E+12,,,Y,Y,235,2,,,https://images.freshop.ncrcloud.com/1764405684715222444/4a451cfd6f92a79965ad5b10aa1b6b05_large.png
nestle-(cookie's-&-cream)1.3l,10291,NESTLE (COOKIE'S & CREAM)1.3L,ICE CREAM 🍦,,N,,,,,,,275,4.80653E+12,,,Y,Y,325,3,,,http://shopsuki.ph/cdn/shop/files/4806534190516_1024x.jpg?v=1745509223
nestle-(double-dutch)1.3l,10292,NESTLE (DOUBLE DUTCH)1.3L,ICE CREAM 🍦,,N,,,,,,,291,4.80653E+12,,,Y,Y,345,3,,,https://images.freshop.ncrcloud.com/1564405684702508878/882bb5abd4fba400bd53dcbb8880ca87_large.png
nestle-(mango-cheesecake)750ml,10283,NESTLE (MANGO CHEESECAKE)750ML,ICE CREAM 🍦,,N,,,,,,,214,4.80653E+12,,,Y,Y,235,2,,,https://images.freshop.ncrcloud.com/1764405684715222450/84a2a16489b547322735b917f8ef21c8_large.png
nestle-(mango)1.3l,10297,NESTLE (MANGO)1.3L,ICE CREAM 🍦,,N,,,,,,,265,4.80653E+12,,,Y,Y,315,2,,,https://img.lazcdn.com/g/p/ec21d93780ab8a44c20b912814b95aa5.jpg_720x720q80.jpg
nestle-(mocha-&-cashew)1.3l,10295,NESTLE (MOCHA & CASHEW)1.3L,ICE CREAM 🍦,,N,,,,,,,280,4.80653E+12,,,Y,Y,330,2,,,https://lzd-img-global.slatic.net/g/p/e1518bb6b646ce4afc0c2667ed23b63f.png_720x720q80.png
nestle-(rocky-road)1.3l,10294,NESTLE (ROCKY ROAD)1.3L,ICE CREAM 🍦,,N,,,,,,,280,4.80653E+12,,,Y,Y,330,1,,,https://images.freshop.ncrcloud.com/1564405684702508880/f0f0e25d60129dcfa4f9b817834eeb08_large.png
nestle-(salted-caramel-sundae),10286,NESTLE (SALTED CARAMEL SUNDAE),ICE CREAM 🍦,,N,,,,,,,114,4.80653E+12,,,Y,Y,235,2,,,https://images.freshop.ncrcloud.com/1764405684715222448/bd222254e6c0eee7894e6708e77a9f69_large.png
nestle-(ube)1.3l,10293,NESTLE (UBE)1.3L,ICE CREAM 🍦,,N,,,,,,,265,4.80653E+12,,,Y,Y,315,2,,,https://images.freshop.ncrcloud.com/1564405684702508852/9c35d1ddc0a2fe7228e1d9e32a22d726_large.png
nestle-(almond-brownie-fudge)750ml,10287,NESTLE 2in1 (ALMOND BROWNIE FUDGE& COOKIES)750ML,ICE CREAM 🍦,,N,,,,,,,168,4.80653E+12,,,Y,Y,215,2,,,https://media.pickaroo.com/media/thumb/variant_photos/2022/9/12/HYvruJi6Usu5XESRWWFLM6_watermark_400.jpg
nestle-(rocky-road)-750ml,10288,NESTLE 2in1 (ROCKY ROAD & DOUBLE DUTCH) 750ML,ICE CREAM 🍦,,N,,,,,,,168,4.80653E+12,,,Y,Y,215,2,,,https://assets.unileversolutions.com/v1/124824338.png
nips-milk-choco,10206,NIPS MILK CHOCO,SNACKS,,N,,,,,,,5.87,4.80002E+11,,,Y,Y,8,19,,,https://down-ph.img.susercontent.com/file/sg-11134201-22100-ht84t4tms8hv91
nips-peanut,10203,NIPS PEANUT,SNACKS,,N,,,,,,,5.87,4.80036E+12,,,Y,Y,8,14,,,https://ph-test-11.slatic.net/p/022103470d15067ff45cd8a7d57aa433.jpg
nips-white-choco,10258,NIPS WHITE CHOCO PACK,SNACKS,,N,,,,,,,28.95,4.80002E+12,,,Y,Y,35,22,,,https://foodpanda.dhmedia.io/image/darkstores/nv-global-catalog/ph/8cdc14b9-1d59-4fe3-aad4-44956f66b3bb.jpg?height=480
nips-white-choco-piece,10259,NIPS WHITE CHOCO PIECE,SNACKS,,N,,,,,,,1.2,,,,Y,Y,2,24,,,https://foodpanda.dhmedia.io/image/darkstores/nv-global-catalog/ph/8cdc14b9-1d59-4fe3-aad4-44956f66b3bb.jpg?height=480
nissin-cup-noodles-spcyhtbf,10228,NISSIN CUP NOODLES SPCYHTBF,FOOD,,N,,,,,,,22.01,,,,Y,Y,30,10,,,https://lzd-img-global.slatic.net/g/p/7e2f35fe6c0ff651083b026cd3056e43.jpg_720x720q80.jpg
nissin-cup-noodles-spcysf,10229,NISSIN CUP NOODLES SPCYSF,FOOD,,N,,,,,,,22.01,,,,Y,Y,30,8,,,https://cf.shopee.ph/file/51ca666024536d9ef712904fe1036320
nobrelli-(choco-keso-ube)1.3l,10281,NOBRELLI (CHOCO-KESO-UBE)1.3L,ICE CREAM 🍦,,N,,,,,,,168,4.80653E+12,,,Y,Y,189,5,,,https://d2j6dbq0eux0bg.cloudfront.net/images/17197054/2650348632.jpg
nobrelli-(choco-mangga-ube)-1.3l,10282,NOBRELLI (CHOCO-MANGGA-UBE) 1.3L,ICE CREAM 🍦,,N,,,,,,,168,4.80653E+12,,,Y,Y,189,5,,,https://zbga.shopsuki.ph/cdn/shop/files/4806534190073_1024x.jpg?v=1744796086
nobrelli-(choco-pandan-ube)-1.3l,10280,NOBRELLI (CHOCO-PANDAN-UBE) 1.3L,ICE CREAM 🍦,,N,,,,,,,168,4.80653E+12,,,Y,Y,189,5,,,https://zbga.shopsuki.ph/cdn/shop/files/4806534190080_800x.jpg?v=1744796404
nova-cntry-chddr-fs,10149,NOVA CNTRY CHDDR FS,SNACKS,,N,,,,,,,0,,,,Y,Y,8,11,,,https://down-ph.img.susercontent.com/file/ph-11134201-7r98v-lutbejfq1wnd85
ntrisnk-cheezit,10138,NTRISNK CHEEZIT,SNACKS,,N,,,,,,,0,4.80052E+12,,,Y,Y,9,9,,,https://www.filipinofiesta.nl/cdn/shop/files/cheez-it.jpg?v=1712831709&width=533
nutriboost-choco-110,10112,NUTRIBOOST CHOCO 110,DRINKS,,N,,,,,,,0,4.80198E+12,,,Y,Y,15,18,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98p-ltooyjm55q40be
nutriboost-strwbrry-110,10113,NUTRIBOOST STRWBRRY 110,DRINKS,,N,,,,,,,0,4.80198E+12,,,Y,Y,15,19,,,https://down-ph.img.susercontent.com/file/ph-11134207-81zte-mhkeg3uu5a0x32
odong,10039,ODONG PACK,FOOD,,N,,,,,,,0,4.80901E+12,,,Y,Y,40,6,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj9KZGD1hzprd0Qg55IPe_WpmzVRNeANtzpjkmbYqa5xmsIp-lT7Vgb2-ZzrreEjYM_wxaxoqgq0kUz_Tfw-UBZQFFuU_ikVDVfLtq6-E25tlOlmlUPtzmLLz21yGtF76jyzWptMl6KPAFx/w716-h475/odong+-+Gaisano+Mall%252C+Tagum+City%252C+Davao+del+Norte+-+for+posting+%2528watermarked%2529+%25283%2529.JPG
odong-per-piece,10040,ODONG PER PIECE,FOOD,,N,,,,,,,0,,,,Y,Y,4,72,,,https://2.bp.blogspot.com/-HFSxiA9HNug/W1wX0IAlUrI/AAAAAAAA9HM/7tepJpmHrdUBX3K2_uJU9hgzProhouuZgCLcBGAs/s1600/odong%2B-%2BGaisano%2BMall%252C%2BTagum%2BCity%252C%2BDavao%2Bdel%2BNorte%2B-%2Bfor%2Bposting%2B%2528watermarked%2529%2B%25282%2529.JPG
oishi-cracklings,10130,OISHI CRACKLINGS,SNACKS,,N,,,,,,,0,4.80019E+12,,,Y,Y,10,12,,,https://down-ph.img.susercontent.com/file/ph-11134207-7ra0s-mbwjnlntjmvr3d
oishi-onion-rngs,10137,OISHI ONION RNGS,SNACKS,,N,,,,,,,0,4.80019E+12,,,Y,Y,10,6,,,https://down-ph.img.susercontent.com/file/sg-11134275-821fq-mh8dal9t4ikp0d
oishi-potato-fries,10088,OISHI Potato Fries,SNACKS,,N,,,,,,,0,4.80019E+12,,,Y,Y,10,10,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rasc-m9h0g8c4eib717
oishi-prwn-crckrs,10136,OISHI PRWN CRCKRS,SNACKS,,N,,,,,,,0,4.80019E+12,,,Y,Y,10,11,,,https://heyexplorer.com/wp-content/uploads/2020/11/Oishi-Prawn-Crackers.png
oishi-prwn-crckrs-spcy-1,10142,OISHI PRWN CRCKRS SPCY,SNACKS,,N,,,,,,,0,4.80019E+12,,,Y,Y,10,2,,,https://down-ph.img.susercontent.com/file/sg-11134201-22110-h2tyyncm7njv6c
oishi-prwn-crckrs-spcy,10135,OISHI PRWN CRCKRS SWTNSPCY,SNACKS,,N,,,,,,,0,4.80019E+12,,,Y,Y,10,10,,,https://i.pinimg.com/originals/58/22/1a/58221a7678ebb2cbbc46117ab562eae7.jpg
oishi-rinbee,10140,OISHI RINBEE,SNACKS,,N,,,,,,,0,4.89121E+12,,,Y,Y,10,9,,,https://cf.shopee.ph/file/sg-11134201-22110-z07qtorqj0jve6
omega120,10004,OMEGA120,ESSENTIAL OILS,<p>120ML</p>,N,,,,,,,0,4.80001E+12,,,Y,Y,120,3,0,,https://imsnaturally.com/wp-content/uploads/2022/07/ultimate-omega-120.jpg
omega15,10006,OMEGA15,ESSENTIAL OILS,<p>15ML</p>,N,,,,,,,0,4.80001E+12,,,Y,Y,22.5,7,5,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=117362364274676
omega30ml,10002,OMEGA30,ESSENTIAL OILS,<p>30ML</p>,N,,,,,,,0,4.80001E+12,,,Y,Y,41,13,5,,https://i.pinimg.com/736x/ac/bc/60/acbc6036acf8f88d469606f61fdfb32d.jpg
omega60,10003,OMEGA60,ESSENTIAL OILS,<p>60ML</p>,N,,,,,,,0,4.80001E+12,,,Y,Y,67,4,0,,https://www.vita2life.com/wp-content/uploads/2025/03/Max-Omega-care-60-softgels-bottle-1-2-1-scaled-e1745328359145.jpg
oreo-1l,10284,OREO 1L,ICE CREAM 🍦,,N,,,,,,,312,4.80036E+12,,,Y,Y,335,3,,,https://down-ph.img.susercontent.com/file/c6ba86329dd8ed0a78336ca06e7980f5
oreo-ice-cream-110ml,10278,OREO ICE CREAM 110ML,ICE CREAM 🍦,,N,,,,,,,55,4.80653E+12,,,Y,Y,65,42,10,,https://images.freshop.ncrcloud.com/1564405684704639218/c93ada7c9b7991ad10b604be5d7d470f_large.png
oreo-ice-cream-450,10279,OREO ICE CREAM 450ML,ICE CREAM 🍦,,N,,,,,,,160,4.80036E+12,,,Y,Y,185,3,,,https://images.deliveryhero.io/image/darkstores/nv-global-catalog/ph/36b8be45-9a88-4f3c-b75d-b4ef3ea01137.png?height=480
osaka-sardines,10201,OSAKA SARDINES,FOOD,,N,,,,,,,23.39,4.80004E+12,,,Y,Y,26,35,,,https://megaprimefoods.com.ph/wp-content/uploads/2024/06/unlocking-nutrition-mega-sardines.png
overload-blkfrst,10222,OVERLOAD BLKFRST,SNACKS,,N,,,,,,,7.92,4.80002E+12,,,Y,Y,10,10,,,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA1Zz2B7.img?w=1280&h=960&m=4&q=82
overload-blkfrst-10s,10254,OVERLOAD BLKFRST 10S,SNACKS,,N,,,,,,,79.2,4.80002E+12,,,Y,Y,90,8,,,https://trillora.com/hubfs/hero-packaging-optimization.webp
overlaod-choco-strwbrry,10223,OVERLOAD CHOCO STRWBRRY,SNACKS,,N,,,,,,,7.92,4.80002E+12,,,Y,Y,10,9,,,https://down-ph.img.susercontent.com/file/sg-11134201-23020-8ci1dg5hzinv77
overload-chocostrwbrry,10255,OVERLOAD CHOCOSTRWBRRY,SNACKS,,N,,,,,,,79.2,4.80002E+12,,,Y,Y,90,9,,,https://down-ph.img.susercontent.com/file/sg-11134201-23020-8ci1dg5hzinv77
overload-chocostrwbrry-1,10256,OVERLOAD CHOCOSTRWBRRY,SNACKS,,N,,,,,,,79.2,4.80002E+12,,,Y,Y,90,9,,,https://down-ph.img.susercontent.com/file/sg-11134201-23020-8ci1dg5hzinv77
palmolive-ad+sh,10018,PALMOLIVE AD+SH,BATH ESSENTIALS,<p>ANTIDANDRUFF+SCALPHEALTH / BLUE</p>,N,,,,,,,0,8.85001E+12,,,Y,Y,9,24,,,https://cf.shopee.ph/file/61cf7a1f1b0153ce3d80b2248d8d514e
palmolive-im,10017,PALMOLIVE IM,BATH ESSENTIALS,<p>INTENSIVE MOISTURE / PINK</p>,N,,,,,,,0,8.85001E+12,,,Y,Y,9,41,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98q-lnfwfbsjou56f2
palmolive-ss,10016,PALMOLIVE SS,BATH ESSENTIALS,<p>SILKY STRAIGHT</p>,N,,,,,,,0,8.85001E+12,,,Y,Y,9,57,,,https://down-ph.img.susercontent.com/file/ph-11134208-7rasf-m7ho8uca30ph28
palmolive-us,10019,PALMOLIVE US,BATH ESSENTIALS,<p>ULTRASMOOTH / GREEN</p>,N,,,,,,,0,8.85001E+12,,,Y,Y,9,181,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98o-lkqf9xxgyeob8d
pampers-nb-4pcs,10074,PAMPERS NB 4PCS,BABY ESSENTIALS,,N,,,,,,,0,4.90243E+12,,,Y,Y,50,16,,,https://media.karousell.com/media/photos/products/2023/4/9/bundle_of_4_packs_pampers_baby_1681015788_1d358d48_progressive.jpg
peewee-pzza-sprm,10156,PEEWEE PZZA SPRM,SNACKS,,N,,,,,,,0,4.80052E+12,,,Y,Y,10,4,,,https://pinoywarehouse.com.au/wp-content/uploads/2025/08/Nutri_Snack_PeeWee_Pizza_Supreme_Flavored_Snack_95g_w_logo.png
peewee-spcy-chili,10154,PEEWEE SPCY CHILI,SNACKS,,N,,,,,,,0,4.80052E+12,,,Y,Y,10,9,,,https://nutristateline.com/wp-content/uploads/2024/08/PW-Spicy-Chili-2019-.jpg
piattos-cheese,10147,PIATTOS CHEESE,SNACKS,,N,,,,,,,0,4.80002E+12,,,Y,Y,20,4,,,https://down-ph.img.susercontent.com/file/ph-11134201-7r98y-lutbegnk4hgpe9
piattos-85g,10202,PIATTOS CHEESE 85G,SNACKS,,N,,,,,,,33.22,4.80002E+12,,,Y,Y,39.5,5,,,https://down-ph.img.susercontent.com/file/ph-11134201-7r98y-lutbegnk4hgpe9
piattos-roadhouse-bbq,10227,PIATTOS ROADHOUSE BBQ,SNACKS,,N,,,,,,,33.22,4.80002E+12,,,Y,Y,39.5,5,,,https://boholonlinestore.com/wp-content/uploads/2017/01/piattos_roadhouse_barbecue_chips_40g-600x600.jpg
piattos-sourcrm,10145,PIATTOS SOURCRM,SNACKS,,N,,,,,,,0,4.80002E+12,,,Y,Y,20,6,,,https://down-ph.img.susercontent.com/file/be1ba7c10312ff1342e6abefcd47c443
piattos-srcrm,10220,PIATTOS SRCRM,SNACKS,,N,,,,,,,33.22,4.80393E+12,,,Y,Y,39.5,4,,,https://down-ph.img.susercontent.com/file/sg-11134202-7rdyg-mde0nad4cdw481
pillows-choco-38g,10272,PILLOWS CHOCO 38G,SNACKS,,N,,,,,,,9,4.80019E+12,,,Y,Y,12,12,,,https://ph-test-11.slatic.net/p/49331ed13f9d1e50dfbd7af80fabbd8e.jpg
pillows-ube-24g,10263,PILLOWS UBE 24G,SNACKS,,N,,,,,,,6.75,4.80019E+12,,,Y,Y,9,17,,,https://ph-test-11.slatic.net/p/c0fd0ab970fc721248879db7a344ce54.jpg
premium-dw-liq---cal,10025,PREMIUM DW LIQ - CAL,Cleaning/Laundry Supplies,<p>CALAMANSI</p>,N,,,,,,,0,,,,Y,Y,40,71,,,https://down-ph.img.susercontent.com/file/7fec34ec62711d2091c4ca267c18f065
premium-dw-liq---green-apple,10089,PREMIUM DW LIQ - GREEN APPLE,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,40,30,,,"https://static.wixstatic.com/media/c81dd2_0dbae07ff93e460c89be1e5e787ae742~mv2.webp/v1/fill/w_1024,h_1024,al_c,q_85,enc_avif,quality_auto/c81dd2_0dbae07ff93e460c89be1e5e787ae742~mv2.webp"
premium-dw-liq---lem,10026,PREMIUM DW LIQ - LEM,Cleaning/Laundry Supplies,<p>LEMON / YELLOW</p>,N,,,,,,,0,,,,Y,Y,40,57,,,https://www.quantumsupplies.co.uk/wp-content/uploads/2022/06/4561-min-600x800.jpg
premium-dw-liq-antibac,10090,PREMIUM DW LIQ ANTIBAC,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,42,84,,,https://down-ph.img.susercontent.com/file/sg-11134275-821dn-mgq7q9gy0ff062
presto-choco,10207,PRESTO CHOCO,SNACKS,,N,,,,,,,6.13,4.80001E+12,,,Y,Y,10,11,,,https://down-ph.img.susercontent.com/file/sg-11134201-23020-2r87bbfizinv9d
presto-choco-vanilla,10209,PRESTO CHOCO VANILLA,SNACKS,,N,,,,,,,5.87,4.80001E+12,,,Y,Y,10,20,,,https://down-ph.img.susercontent.com/file/sg-11134202-7rdyx-mchgcragw57u99
presto-peanut-butter,10208,PRESTO PEANUT BUTTER,SNACKS,,N,,,,,,,6.13,4.80001E+12,,,Y,Y,10,16,,,https://ph-test-11.slatic.net/p/9f993f1853409ed61ff81dace550dbc1.jpg
ptato-frs,10151,PTATO FRS,SNACKS,,N,,,,,,,0,4.80019E+12,,,Y,Y,10,10,,,https://www.oishi.com.ph/wp-content/uploads/2017/04/potato-fries_tomato-ketchup_BM.png
rc,10276,RC,DRINKS,,N,,,,,,,33,4.80653E+12,,,Y,Y,43,6,,,https://down-ph.img.susercontent.com/file/ph-11134207-7quky-ljj4yw3gltan59
red-horse-500,10083,RED HORSE 500,DRINKS,,N,,,,,,,60,4.80103E+12,,,Y,Y,75,18,,,https://shopmetro.ph/basak-supermarket/wp-content/uploads/2021/03/SM9796144-8.png
red-horse-litro,10084,RED HORSE LITRO,DRINKS,,N,,,,,,,120,4.80103E+12,,,Y,Y,140,24,,,https://happyhour.ph/cdn/shop/products/red-horse-beer-bottle-199809.jpg?v=1708591373
refresh-500ml,10230,REFRESH 500ML,DRINKS,,N,,,,,,,8.65,4.80002E+12,,,Y,Y,12,67,,,https://down-ph.img.susercontent.com/file/sg-11134201-23020-o2d9txrqzinv1b
rejoice-4w,10022,REJOICE 4W,BATH ESSENTIALS,<p>4WASH&nbsp;</p>,N,,,,,,,0,4.90243E+12,,,Y,Y,11,26,,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=131741853563668
rexona-ice-cool-3ml,10310,REXONA ICE COOL 3ML,HOME ESSENTIALS,,N,,,,,,,7.92,4.80089E+12,,,Y,Y,10,12,,,https://down-ph.img.susercontent.com/file/sg-11134201-22110-oxqp391u81jv93
rexona-passion,10307,REXONA PASSION 3ML,HOME ESSENTIALS,,N,,,,,,,7.92,4.80089E+12,,,Y,Y,10,12,,,https://down-ph.img.susercontent.com/file/ph-11134207-7qul1-lgq3j46mipwg0d
rexona-powder-dry-3ml,10306,REXONA POWDER DRY 3ML,HOME ESSENTIALS,,N,,,,,,,7.92,4.80089E+12,,,Y,Y,10,12,,,https://down-ph.img.susercontent.com/file/93d3c92b5cfdf6ca7958166e3578f23e
rexona-quantum-dry,10309,REXONA QUANTUM DRY 3ML,HOME ESSENTIALS,,N,,,,,,,7.92,4.80089E+12,,,Y,Y,10,12,,,https://down-ph.img.susercontent.com/file/sg-11134201-22110-dyw8j6zmarjv85
